Mobile Application Developer,Java Application Developer Mobile Software Engineer iOS Software Engineer Mobile Application Developer iOS Application Developer Android Application Developer Javascript Jquery Developer,"Mobile developers are fluent in object-oriented programming languages such as Java, Objective-C and C++. Mobile application developers code, test, debug, monitor and document changes for mobile applications. Mobile devs are skilled at working inside the development environments of one or more the top mobile OSes. Mobile app developers can implement application programming interfaces (APIs) to support mobile functionality. Mobile application developers know the terminology, concepts, and best practices for coding mobile applications. Mobile application developers migrate and adapt existing web applications to the leading mobile platforms. In-house mobile developers work closely with other departments to brainstorm and optimize deployments. Mobile application developers recommend changes and enhancements to existing mobile applications."
Database Administrator,Database Administrator ETL SQL Server Database Administrator MySQL Database Administrator IBM DB2 Database Administrator Oracle Database Administrator PeopleSoft Database Administrator Senior SQL Database Administrator Senior Oracle Database Administrator Oracle Applications Specialist DBA Database Administration Team Leader MONGODB NOSQL,"Implement, support and manage the corporate database. Design and configure relational database objects. Are responsible for data integrity and availability. May design, deploy and monitor database servers. Design data distribution and data archiving solutions. Ensure database security, including backups & disaster recovery. Plan and implement application and data provisioning. Transfer database information to integrated mobile devices. Some database administrators design and develop the corporate database. Some DBAs analyze and report on corporate data to help shape business decisions. Produce entity relationship & data flow diagrams, database normalization schemata, logical to physical database maps, and data table parameters. Database administrators are proficient in one or more of the leading database management systems, such as, Microsoft SQL Server, IBM DB2, MySQL and Oracle."
Web Developer,Web Designer .Net Web Developer Web Developer PHP Web Developer Coldfusion Developer SQL Server Developer Java Web Developer Software Designer User Interface (UI) Developer Oracle Developer Perl Developer J2EE Develop,"Are fluent in the core web development scripting languages: HTML, CSS and Javascript. Should know one or more server-side programming languages, such as Java, PHP and .Net. Use search engine optimization (SEO) to develop websites that rank high in Google, Bing, etc. Test web pages and web apps in multiple browsers, e.g., Chrome, FireFox & Internet Explorer. Implement Cascading Style Sheets (CSS) to efficiently control the style of multiple pages in site. Develop websites that interact with popular database systems like MySQL, SQL Server & Oracle. Use wireframes to plan the layout, navigation and functionality of new web development projects. Communicate with clients and colleagues to troubleshoot websites and optimize performance. Some web developers are responsible for designing a website's graphics and multimedia element"
Help Desk Technician,Help Desk Technician IT Support Specialist Desktop Support Specialist IT System Administrator PC and Hardware Repair Field Service Technician Windows Administrator:,"Diagnose computer errors and provide technical support. Troubleshoot software, hardware and network issues. Train end-users how to setup and use new technologies. Backup and restore an organization's data files and systems. Install, configure and upgrade PC software and operating systems. Clean and repair computer hardware, such as keyboards and printers. Remote IT help desk technicians provide technical support over the phone or Web. Remote help desk technicians often use specialized help desk support software to take control of end-users' computers to troubleshoot, diagnose and resolve complex issues."
Network Administrator,Network Administrator Network Manager Cisco Network Administrator Network Designer Network Engineer Cisco Network Engineer Network Security Administrator Network Maintenance Specialist Network Architect Cisco Network Architect Cisco CCIE Network Engineer,"Configure and maintain the organization's internal computer network. Manage network security tools, e.g., firewall, anti-virus and intrusion detection systems. Identify, troubleshoot, solve and document network connectivity and performance issues. Install and support hard-line telephones and other networked telecommunication devices. Monitor network performance and optimize the network for optimal speed and availability. Install, configure and maintain network hardware, for example, Cisco routers and switches. Deploy, configure and upgrade network software, such as, enterprise antivirus or diagnostics programs. Implement and maintain emergency backup and restore systems for mission-critical network servers. Network administrators regulate user access to sensitive files to protect against internal security breaches. In smaller companies, network administrators are often responsible for end-user desktop support, and the maintenance of servers and other networked devices."
Graphic Designer,Graphic Designer Packaging Designer Copy Writer Multimedia Designer Web Graphics Designer Interactive Graphics Designer Catalog Designer Graphic User Interface Designer Senior Art Director,"Design websites, email and newsletter templates, and social media posts. Plan layouts for magazines, brochures and other print publications. Design corporate logos, business cards and company letterhead. Make promotional displays, teasers and signs for public exhibitions. Create banner ads and rich media marketing campaigns for web pages. Work closely with copywriters, creative directors, and marketing managers. Are proficient in Adobe's digital media and design products, e.g., Photoshop, Dreamweaver, Premiere Pro, InDesign, Illustrator and Acrobat."
IT Security,Information Security Consultant Information Security Analyst Computer Forensics Investigator Certified Ethical Hacker Vulnerability Analyst Cyber Security Analyst Cyber Intelligence Analyst Information Technology Auditor Firewall Engineer IT Security Specialist salary Network Security Engineer SAP Security Administrator Lead Digital Forensics Examiner Director of Information Security Security Solutions Architect,"Develop plans to safeguard computer files against unauthorized modification, destruction or disclosure. Choose, implement, monitor and upgrade computer anti-virus and malware protection systems. Encrypt data transmissions and erect firewalls to conceal confidential information during transmit. Implement password authentication to keep unauthorized users from accessing sensitive data files. Modify security files to incorporate new software, correct errors, and change user access status. Perform risk assessments and tests on running data processing activities and security measures. Educate workers about computer security and promote security awareness and security protocols. Keep accurate and current backup files of all important data on the shared corporate network. IT security pros who specialize in computer forensics gather evidence for prosecuting cyber crimes. Computer forensics specialists can set up & operate an investigator’s lab, and process computer crime scenes."
Software Engineer,Software QA Engineer Software Systems Engineer Software Applications Engineer Java Software Engineer Software Engineer PHP Software Engineer Mobile Application Developer Web UI Software Developer Firmware Engineer C++ Software Developer Python Software Engineer Senior Java Engineer Senior Software Engineer Ruby on Rails Software Developer,"Software engineers analyze end-users' needs and develop software solutions within time and cost constraints. Software engineers are fluent in object-oriented programming languages such as Java, C, C++, Perl & Python. Software engineers program, test, debug, monitor and document changes to computer systems & applications. Specialized software engineers, known as mobile app developers, create applications for smartphones & tablets. Systems software engineers examine departmental goals and develop custom computer systems for organizations. Systems software engineers develop can a corporate intranet to help streamline interdepartmental communication. Applications software engineers upgrade existing computer programs to updated platforms with new specifications. Software engineers recommend changes and enhancements to existing software systems and computer applications. Software engineers coordinate system installation and monitor equipment functioning to ensure project specs are met. Software engineers are responsible for system security and data assurance across the systems that they're developing."
IT Manager,Chief Information Officer (CIO) Chief Technology Officer (CTO) Chief Security Officer (CSO) Vice President of IT Technology Director Information Technology Manager Information Security Manager Database Manager Network Manager Software Development Product Manager,"Are responsible for strategic IT planning, including fostering innovation & allocating monetary resources. Direct operational IT planning, including planning IT projects and the allocation of manpower resources. Oversee the financial aspects of their IT team or dept., including purchasing, budgeting & budget review. Coordinate IT staffing, including hiring, supervision, scheduling, professional development and discipline. Collaborate with and maintain communications with executives and department heads in the organization. Design, implement and enforce the policies, procedures and best practices for their IT team or department. Research IT solutions and make recommendations for the improvement of IT systems and IT infrastructure. Negotiate and approve technology vendor, outsourcing, and consultant contracts and service agreements. Should have superior skills in team leadership, employee development and interpersonal communication. Should have a strong command of project management principles, procedures and best practices."
Systems Analyst,Computer Systems Analyst Information Security Analyst Business Systems Analyst Business Intelligence Analyst Software Systems Analyst,"Work closely with managers and end-users to define systems requirements and business goals. Analyze the effectiveness of computer systems and develop strategies to improve IT productivity. Assist in the design & development of new computer applications and enhancements to existing apps. Recommend initiatives to increase the ROI of an organization's information technology expenditures. Perform cost-benefit analyses for potential computer system upgrades to support purchase decisions. Create systems models, diagrams and charts to provide direction to system developers & engineers. Provide orientation and training sessions to end-users for new and modified computer systems. Assist in the deployment, customization and post-implementation troubleshooting of new systems. Rather than deep expertise about every piece of technology, systems analysts need a top-level understanding of how IT processes and components (such as hardware, software & networks) interact to further business objectives."
